trial,mean_reward,learning_rate,buffer_size,batch_size,train_freq,exploration_fraction,exploration_final_eps,net_arch
0,-2.0047404,2.5519370116101105e-05,200000,64,8,0.4708302645763326,0.028835772864195662,"(128, 128)"
1,-1.5569080000000002,6.95348768109222e-05,200000,64,4,0.4871813573515035,0.01604136927847211,"(256, 256)"
2,-1.9973204,0.0007018879205041695,100000,64,4,0.18083469009259892,0.07657121035007981,"(64, 64)"
3,-2.0046578,0.0003360323378412103,200000,128,4,0.39517373172420445,0.013864608969703958,"(64, 64)"
4,-1.8451562,1.138374626943395e-05,100000,32,1,0.3983223868358131,0.0843406407472616,"(256, 256)"
5,-2.0335228,0.00019497997673537668,100000,32,4,0.3412180067929667,0.060117530394243474,"(128, 128)"
6,-2.0526402,4.135217431597749e-05,50000,64,4,0.3636546224133893,0.031233993034108162,"(256, 256)"
7,-1.2858374,6.089094262104784e-05,200000,64,4,0.45687428260301366,0.05885068341865791,"(256, 256)"
8,-1.8466324,0.0001332923080910324,50000,64,8,0.35699955294609886,0.09329023773441185,"(256, 256)"
9,-1.3417974000000001,5.213107645800796e-05,50000,128,8,0.2566757816343293,0.06450916325979235,"(256, 256)"
10,-1.3827653999999998,1.0637369314199797e-05,200000,32,1,0.1132259899324492,0.04403876243678559,"(128, 128)"
11,-1.2358759999999998,6.016590394285251e-05,50000,128,8,0.2380419892340962,0.06264927558165834,"(256, 256)"
12,-2.0094768000000003,2.8547737115563723e-05,50000,128,8,0.25188896060904853,0.04986660894570014,"(256, 256)"
13,-2.0,0.00011930156435365067,50000,128,8,0.20884643824224491,0.07061501598496513,"(256, 256)"
14,-2.0173186000000003,0.0002254753212072359,200000,128,1,0.29938306569975215,0.0426418636599285,"(256, 256)"
15,-1.9376075999999998,7.767782796948247e-05,50000,64,4,0.44014181983994327,0.09995783256605617,"(64, 64)"
16,-1.6851386000000002,2.2175915712572925e-05,200000,128,8,0.15151576268695194,0.05736754627515775,"(256, 256)"
17,-1.2501723999999999,4.0766937819073906e-05,50000,64,4,0.27882511468146987,0.0769321754679293,"(256, 256)"
18,-1.7134642,1.856677394434808e-05,50000,128,8,0.27351599175974517,0.08266628326773058,"(128, 128)"
19,-1.5090692000000003,4.2365637586052434e-05,50000,32,1,0.24002352298774293,0.0706680275019514,"(64, 64)"
